SAMPLEID	id_sequence	id_metagenome	Poligono	Sitio	Transecto	id_new	id_fisicoq	Sites	Names	pH	MO	N	P	K	Ca	Mg	Fe	Cu	Mn	moisture	type	type2	WHC	CONDUC	pH2	ARCILLA	LIMO	ARENA
P1S1T1	111	140	1	1	1	30	30	1	Tetlanohcan 1	5.98	13.99	40.3	22.61	316	80	224	88.8	0.42	14.51	7.06	LoSa	Lomy Sand	944.531599082389	0.21	5.29	3.35351653469958	8.47694457382394	88.1695388914765
P1S1T2	112	152	1	1	2	13	NA	1	Tetlanohcan 1	5.44	24.2	54.3	5.74	532	96	542	167.52	0.8	57.26	8.73	LoSa	Lomy Sand	970.651325179017	0.16	6.49	2.27768354737097	12.4545674824328	85.2677489701963
P1S1T3	113	164	1	1	3	21	21	1	Tetlanohcan 1	5.85	5.92	54.3	22.95	324	34	144	55	0.32	9.81	7.18	LoSa	Lomy Sand	957.064254369955	0.18	4.82	3.36291452592247	10.8360579168613	85.8010275572163
P1S2T1	121	176	1	2	1	11	11	2	Tetlanohcan 2	5.66	7.13	50.8	59.73	266	46	119	58.04	0.43	15	7.4	Sa	Sandy	611.689900547067	0.22	5.46	3.38028169014084	3.84976525821596	92.7699530516432
P1S2T2	122	188	1	2	2	33	13,33	2	Tetlanohcan 2	6.46	6.59	50.8	23.96	534	83	167	73.96	0.59	14.78	8.45	Sa	Sandy	566.517093042495	0.26	5.74	3.03249097472924	4.38026474127557	92.5872442839952
P1S2T3	123	121	1	2	3	12	12	2	Tetlanohcan 2	5.45	11.3	57.8	31.05	254	49	143	75.16	0.42	32.36	4.12	Sa	Sandy	606.841337160619	0.09	5.87	2.74629468177855	3.96687009590235	93.2868352223191
P2S1T1	211	133	2	1	1	19	19,24	3	La Ascención Huitzcolotepec	6.09	11.97	61.3	1.01	516	159	619	116.68	0.9	50.09	7.95	LoSa	Lomy Sand	1265.51049644024	0.36	6.46	7.32461355529132	20.5469678953627	72.128418549346
P2S1T2	212	105	2	1	2	6	6,9	3	La Ascención Huitzcolotepec	6.79	7.44	57.8	7.76	624	166	560	79.08	0.86	37.26	5.67	LoSa	Lomy Sand	1038.40443905812	0.47	6.26	2.43627340401534	21.7459959395443	75.8177306564403
P2S1T3	213	145	2	1	3	7	7	3	La Ascención Huitzcolotepec	6.51	12.64	61.3	8.77	690	222	642	143.36	1.17	55.37	7.9	LoSa	Lomy Sand	1352.14033788856	0.41	6.39	4.94061757719715	18.5748218527316	76.4845605700713
P2S2T1	221	157	2	2	1	24	NA	4	Tepeticpac	7.1	14.12	54.3	19.91	760	215	477	125.8	0.56	24.06	5.94	LoSa	Lomy Sand	1092.17508832781	0.78	6.52	0.181570585565139	26.4185201997276	73.3999092147072
