kraken_pluspfp_100_report_bracken_species	kraken_pluspfp_105_report_bracken_species	kraken_pluspfp_110_report_bracken_species	kraken_pluspfp_111_report_bracken_species	kraken_pluspfp_112_report_bracken_species	kraken_pluspfp_117_report_bracken_species	kraken_pluspfp_121_report_bracken_species	kraken_pluspfp_122_report_bracken_species	kraken_pluspfp_123_report_bracken_species	kraken_pluspfp_129_report_bracken_species	kraken_pluspfp_133_report_bracken_species	kraken_pluspfp_134_report_bracken_species	kraken_pluspfp_135_report_bracken_species	kraken_pluspfp_140_report_bracken_species	kraken_pluspfp_141_report_bracken_species	kraken_pluspfp_145_report_bracken_species	kraken_pluspfp_146_report_bracken_species	kraken_pluspfp_147_report_bracken_species	kraken_pluspfp_152_report_bracken_species	kraken_pluspfp_153_report_bracken_species	kraken_pluspfp_157_report_bracken_species	kraken_pluspfp_158_report_bracken_species	kraken_pluspfp_159_report_bracken_species	kraken_pluspfp_164_report_bracken_species	kraken_pluspfp_165_report_bracken_species	kraken_pluspfp_169_report_bracken_species	kraken_pluspfp_170_report_bracken_species	kraken_pluspfp_171_report_bracken_species	kraken_pluspfp_176_report_bracken_species	kraken_pluspfp_177_report_bracken_species	kraken_pluspfp_181_report_bracken_species	kraken_pluspfp_182_report_bracken_species	kraken_pluspfp_183_report_bracken_species	kraken_pluspfp_188_report_bracken_species	kraken_pluspfp_98_report_bracken_species	kraken_pluspfp_99_report_bracken_species	taxonomy
101028	1302	1066	1056	1402	1451	1804	955	1216	1458	1109	2304	1508	2637	1985	1062	2172	1413	2101	4341	1230	1396	3299	4033	2622	1521	1272	4210	3065	1515	2848	2792	946	2929	1317	3036	3752	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__pseudograminearum
36050	161	345	211	349	193	259	324	288	174	233	165	312	321	236	215	192	310	245	231	317	239	347	190	379	456	191	232	165	245	166	232	171	213	197	178	199	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__poae
56646	108	203	181	209	123	230	214	215	131	169	124	296	219	175	176	129	246	143	151	279	230	212	144	258	353	186	195	102	224	82	167	144	108	165	140	133	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__venenatum
5518	72	152	112	135	77	130	152	113	101	93	77	150	141	99	84	122	177	83	101	153	128	119	77	155	208	107	126	76	134	53	132	91	102	122	94	84	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__graminearum
1328300	207	299	274	316	169	297	291	315	222	247	271	297	230	223	215	340	265	253	259	311	268	256	195	351	448	276	308	178	274	137	228	188	183	213	229	244	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__keratoplasticum
195108	188	338	318	313	167	342	318	320	202	259	253	363	257	245	264	360	356	227	242	350	250	306	188	373	434	273	304	189	268	170	237	228	203	295	287	248	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__falciforme
5507	219	1170	364	391	233	513	394	434	257	367	491	528	379	350	311	343	477	333	307	899	654	577	254	639	1352	343	362	179	320	150	378	217	244	255	385	278	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__oxysporum
5127	75	185	127	145	98	163	163	162	112	141	129	191	171	143	134	150	179	138	181	276	162	212	112	221	262	133	175	127	127	77	173	133	91	135	103	127	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__fujikuroi
117187	68	148	99	164	95	135	173	140	81	141	119	169	120	126	103	101	163	118	112	220	103	189	69	180	220	118	141	54	112	87	100	82	58	90	122	95	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__verticillioides
1042133	43	61	48	58	35	56	74	52	44	68	36	53	61	46	44	53	63	37	56	54	51	55	53	56	75	45	74	38	52	43	66	48	45	39	46	39	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__musae
280754	1100	710	865	1397	423	895	975	1297	481	934	584	1448	1313	973	656	453	964	651	902	867	528	926	406	1275	993	924	776	373	862	334	626	603	546	574	751	728	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Pochonia; s__chlamydosporia
1159556	542	884	780	933	535	978	912	986	648	891	700	1075	871	799	764	632	1016	654	762	953	620	1038	501	1025	1365	718	940	526	892	469	728	651	604	763	705	671	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Ustilaginoidea; s__virens
2060973	601	1123	1035	947	577	1048	922	936	751	864	757	973	961	756	830	873	1110	801	813	1088	794	905	678	934	1474	905	979	690	899	556	863	722	701	923	790	782	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Ophiocordycipitaceae; g__Purpureocillium; s__takamizusanense
